item,factorNum,loading,syllables,negeval,factor,mturksample,numInGroup
nice,1,1,1,0,prosocial,1,18
considerate,1,1,4,0,prosocial,1,
helpful,1,1,2,0,prosocial,1,
caring,1,1,2,0,prosocial,1,
genuine,1,1,3,0,prosocial,1,
loyal,1,1,2,0,prosocial,1,
friendly,1,1,2,0,prosocial,1,
sympathetic,1,1,4,0,prosocial,1,
giving,1,1,2,0,prosocial,1,
trustworthy,1,1,3,0,prosocial,1,
welcoming,1,1,3,0,prosocial,1,
fair,1,1,1,0,prosocial,1,
respectful,1,1,3,0,prosocial,1,
calm,1,1,1,0,prosocial,1,
humble,1,1,2,0,prosocial,1,
honest,1,1,2,0,prosocial,1,
motivated,1,1,4,0,prosocial,1,
kind,1,1,1,0,prosocial,0,
insecure,2,1,3,1,withdrawn,1,18
lonely,2,1,2,1,withdrawn,1,
depressed,2,1,2,1,withdrawn,1,
awkward,2,1,2,1,withdrawn,1,
loner,2,1,2,1,withdrawn,1,
confident,2,-1,3,0,withdrawn,1,
trendy,2,-1,2,0,withdrawn,1,
shy,2,1,1,1,withdrawn,1,
popular,2,-1,3,0,withdrawn,1,
social,2,-1,2,0,withdrawn,1,
plain,2,1,1,1,withdrawn,1,
boring,2,1,2,1,withdrawn,1,
flirty,2,-1,2,0,withdrawn,1,
outgoing,2,-1,3,0,withdrawn,1,
ugly,2,1,2,1,withdrawn,1,
attractive,2,-1,3,0,withdrawn,1,
pushover,2,1,2,1,withdrawn,1,
cool,2,-1,1,0,withdrawn,1,
controlling,3,1,3,1,aggressive,1,14
bossy,3,1,2,1,aggressive,1,
snobby,3,1,2,1,aggressive,1,
mean,3,1,1,1,aggressive,1,
rude,3,1,1,1,aggressive,1,
angry,3,1,2,1,aggressive,1,
aggressive,3,1,3,1,aggressive,1,
grumpy,3,1,2,1,aggressive,1,
selfish,3,1,2,1,aggressive,1,
jealous,3,1,2,1,aggressive,1,
stubborn,3,1,2,1,aggressive,1,
risky,3,1,2,1,aggressive,1,
fake,3,1,1,1,aggressive,1,
assertive,3,1,3,1,aggressive,0,
